Wavelength,Flux,BestFit,SkyFlux
3610.772,1.161,0.927,5.222
3611.602,-1.535,0.935,5.611
3612.435,-2.473,0.942,6.212
3613.266,-0.483,0.946,6.786
3614.099,2.570,0.946,7.084
3614.931,1.637,0.943,7.381
3615.762,3.847,0.938,7.882
3616.596,1.181,0.933,8.283
3617.428,0.736,0.932,8.257
3618.262,0.595,0.937,8.156
3619.095,-2.020,0.948,8.251
3619.929,3.963,0.963,8.398
3620.762,1.055,0.979,8.268
3621.597,2.117,0.994,8.094
3622.430,0.448,1.008,7.255
3623.263,-2.282,1.019,6.623
3624.099,1.416,1.023,6.709
3624.933,5.062,1.017,6.879
3625.769,5.640,0.999,7.149
3626.603,2.645,0.975,7.575
3627.439,1.702,0.949,7.206
3628.273,3.230,0.928,7.038
3629.108,4.353,0.916,7.319
3629.945,5.488,0.917,7.679
3630.780,0.817,0.931,7.785
3631.617,-1.892,0.952,8.862
3632.453,0.805,0.973,9.946
3633.290,1.274,0.991,9.676
3634.126,-3.408,1.002,9.025
3634.962,1.348,1.006,8.043
3635.800,-0.687,1.003,8.405
3636.637,0.633,0.994,9.013
3637.475,2.697,0.983,9.573
3638.312,2.065,0.970,9.322
3639.151,0.187,0.958,7.692
3639.988,-0.157,0.947,6.634
3640.826,2.696,0.941,7.349
3641.665,0.118,0.940,7.658
3642.503,-0.370,0.941,7.439
3643.343,1.921,0.942,6.660
3644.181,2.012,0.943,6.266
3645.022,4.313,0.944,7.110
3645.860,4.125,0.946,8.188
3646.699,0.364,0.949,6.674
3647.540,0.162,0.954,6.420
3648.379,0.155,0.963,9.252
3649.220,-3.920,0.974,11.287
3650.060,0.551,0.985,10.574
3650.901,1.111,0.996,8.790
3651.741,3.385,1.006,6.774
3652.581,2.163,1.013,6.300
3653.424,-0.413,1.016,7.716
3654.264,1.817,1.015,7.257
3655.107,1.803,1.011,6.060
3655.948,1.466,1.005,5.986
3656.791,3.837,0.999,6.279
3657.632,2.464,0.993,5.959
3658.473,0.436,0.989,6.522
3659.317,2.690,0.985,7.327
3660.159,-2.182,0.983,7.382
3661.003,-1.358,0.984,6.894
3661.845,1.306,0.987,7.465
3662.689,0.946,0.989,7.987
3663.532,-0.892,0.988,8.448
3664.375,-0.147,0.986,7.593
3665.220,1.361,0.986,6.426
3666.063,1.590,0.987,5.987
3666.908,2.027,0.987,5.834
3667.752,2.918,0.985,5.182
3668.598,2.919,0.984,4.989
3669.442,1.364,0.984,5.379
3670.286,0.412,0.983,5.403
3671.132,-0.732,0.977,4.592
3671.977,-0.366,0.966,4.206
3672.823,0.001,0.951,4.841
3673.668,0.063,0.936,4.961
3674.516,0.884,0.923,5.241
3675.361,1.537,0.914,4.678
3676.206,2.687,0.909,4.260
3677.054,-0.331,0.908,4.249
3677.900,0.378,0.911,4.194
3678.748,1.237,0.914,3.894
3679.594,-4.390,0.912,4.100
3680.443,0.640,0.904,4.450
3681.290,1.602,0.892,4.110
3682.136,0.536,0.884,3.723
3682.986,-0.712,0.884,3.618
3683.833,-0.258,0.891,3.443
3684.682,1.974,0.902,3.632
3685.530,0.729,0.912,3.733
3686.380,2.530,0.923,3.567
3687.228,1.256,0.934,3.288
3688.078,-0.594,0.945,3.224
3688.927,0.037,0.954,3.820
3689.775,1.488,0.960,4.184
3690.626,0.504,0.959,3.995
3691.475,-1.371,0.953,3.873
3692.326,0.815,0.945,4.195
3693.176,1.693,0.942,4.323
3694.027,0.223,0.948,4.454
3694.877,1.487,0.962,4.078
3695.727,3.499,0.981,4.468
3696.579,0.812,0.995,5.212
3697.430,1.680,0.997,6.084
3698.282,0.884,0.980,6.546
3699.133,-0.487,0.947,6.255
3699.986,3.074,0.907,6.671
3700.837,0.014,0.873,7.080
3701.689,1.544,0.857,7.052
3702.542,1.333,0.866,6.508
3703.394,0.995,0.892,6.508
3704.248,1.412,0.919,6.372
3705.100,0.366,0.933,5.678
3705.955,0.845,0.925,5.939
3706.807,-0.717,0.900,6.533
3707.660,1.676,0.873,5.929
3708.515,2.390,0.856,5.220
3709.368,-1.370,0.861,5.637
3710.224,-3.197,0.894,6.005
3711.077,1.298,0.955,5.180
3711.933,1.947,1.030,4.554
3712.787,1.464,1.096,5.265
3713.641,1.558,1.134,5.760
3714.497,1.008,1.133,5.628
3715.352,-0.196,1.092,5.144
3716.208,2.202,1.021,4.365
3717.063,-0.536,0.938,4.307
3717.921,-1.606,0.868,4.986
3718.776,-1.028,0.832,4.995
3719.631,0.741,0.837,4.333
3720.489,3.458,0.881,3.538
3721.345,-0.119,0.954,3.586
3722.203,1.891,1.038,3.690
3723.059,0.384,1.116,3.930
3723.918,-0.911,1.176,4.558
3724.775,0.613,1.208,5.198
3725.631,0.796,1.210,6.048
3726.491,1.991,1.183,7.011
3727.348,1.786,1.127,7.772
3728.207,1.259,1.043,7.455
3729.065,0.107,0.944,8.563
3729.925,-1.468,0.849,7.791
3730.783,-1.058,0.774,6.174
3731.641,2.954,0.738,5.584
3732.502,0.282,0.749,6.146
3733.360,-0.306,0.807,6.249
3734.221,0.872,0.899,6.562
3735.080,2.578,1.005,6.272
3735.942,5.181,1.108,5.913
3736.801,1.161,1.190,6.316
3737.661,1.623,1.246,7.069
3738.523,2.837,1.273,8.019
3739.383,1.389,1.271,8.748
3740.245,-0.879,1.243,8.159
3741.105,-0.811,1.195,8.787
3741.968,-1.744,1.129,8.535
3742.829,-0.226,1.047,7.744
3743.690,0.123,0.952,7.011
3744.553,0.990,0.857,6.674
3745.415,1.577,0.776,6.389
3746.278,-0.941,0.724,6.343
3747.140,1.189,0.712,6.160
3748.004,0.643,0.744,5.144
3748.867,0.848,0.816,4.985
3749.729,1.946,0.916,5.166
3750.594,1.263,1.024,5.332
3751.456,-0.858,1.123,5.228
3752.322,2.297,1.196,5.114
3753.185,2.309,1.242,4.739
3754.050,2.026,1.263,5.305
3754.914,1.754,1.268,5.801
3755.780,0.539,1.266,5.978
3756.644,-0.472,1.264,5.385
3757.508,0.714,1.268,4.409
3758.374,1.424,1.276,4.095
3759.239,1.753,1.278,4.325
3760.106,0.568,1.267,4.292
3760.971,-0.317,1.240,4.055
3761.838,2.058,1.196,4.160
3762.704,1.357,1.133,3.514
3763.569,0.287,1.051,3.997
3764.437,0.446,0.956,4.084
3765.303,1.668,0.863,3.897
3766.171,2.402,0.786,3.615
3767.038,0.833,0.736,3.459
3767.906,-1.805,0.722,3.721
3768.773,1.353,0.746,3.471
3769.640,1.809,0.804,3.390
3770.510,1.012,0.889,4.345
3771.377,1.634,0.987,4.954
3772.247,0.948,1.087,5.174
3773.114,0.645,1.180,5.312
3773.984,0.498,1.263,4.736
3774.853,0.836,1.338,4.390
3775.721,0.520,1.405,4.468
3776.592,0.699,1.460,4.354
3777.461,3.278,1.502,3.943
3778.332,1.820,1.531,3.908
3779.201,0.873,1.548,4.089
3780.072,0.065,1.550,4.536
3780.942,-0.241,1.537,4.410
3781.812,0.165,1.513,4.477
3782.684,0.615,1.483,4.282
3783.554,2.115,1.449,3.750
3784.426,1.318,1.412,3.818
3785.297,2.236,1.373,4.167
3786.170,1.962,1.336,4.813
3787.041,-0.294,1.298,4.106
3787.912,0.548,1.253,3.241
3788.786,0.662,1.194,3.318
3789.657,0.888,1.120,4.005
3790.531,2.064,1.031,4.456
3791.403,2.137,0.932,4.989
3792.277,0.740,0.832,5.079
3793.150,0.734,0.744,4.720
3794.022,1.436,0.682,4.695
3794.897,0.961,0.657,4.613
3795.770,1.627,0.674,3.924
3796.646,1.848,0.728,3.614
3797.519,0.471,0.812,3.755
3798.395,0.147,0.911,3.809
3799.269,1.546,1.009,3.667
3800.143,1.675,1.094,3.220
3801.019,1.562,1.163,3.636
3801.893,1.525,1.222,3.984
3802.770,0.870,1.275,4.217
3803.645,-0.121,1.325,4.118
3804.522,1.260,1.372,3.988
3805.397,1.390,1.416,3.980
3806.273,2.737,1.453,3.237
3807.150,3.007,1.476,3.055
3808.026,1.567,1.484,3.258
3808.904,2.528,1.476,3.254
3809.780,1.920,1.460,3.430
3810.659,1.999,1.444,3.955
3811.536,1.311,1.438,3.930
3812.412,1.236,1.445,4.467
3813.292,2.286,1.460,4.519
3814.169,1.689,1.477,4.494
3815.048,0.702,1.487,4.938
3815.926,0.922,1.487,4.949
3816.806,1.467,1.474,4.534
3817.684,2.011,1.447,4.060
3818.562,2.121,1.409,4.236
3819.443,0.924,1.365,4.252
3820.322,0.004,1.322,4.321
3821.202,0.664,1.281,4.198
3822.082,1.391,1.237,4.485
3822.963,1.890,1.190,4.423
3823.842,1.535,1.144,4.428
3824.724,-0.159,1.098,3.998
3825.604,2.404,1.050,3.675
3826.484,1.020,0.993,3.301
3827.366,0.949,0.926,4.312
3828.247,1.743,0.850,5.610
3829.130,1.023,0.770,6.726
3830.011,1.120,0.692,7.166
3830.894,1.003,0.625,7.635
3831.775,0.562,0.583,7.096
3832.657,0.066,0.572,7.000
3833.540,0.357,0.592,6.324
3834.422,0.923,0.638,6.129
3835.307,0.186,0.704,6.090
3836.189,1.116,0.782,5.515
3837.073,1.269,0.863,5.399
3837.956,1.136,0.941,5.166
3838.839,0.110,1.014,5.049
3839.724,-0.026,1.082,4.956
3840.608,3.358,1.144,4.710
3841.493,-1.227,1.199,4.951
3842.377,1.017,1.245,5.128
3843.263,1.972,1.282,5.060
3844.147,0.116,1.311,5.219
3845.032,0.259,1.338,5.625
3845.918,2.351,1.364,5.471
3846.803,2.049,1.391,5.152
